sentence,true_label,predicted_label
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,positive
- Profit before taxes was EUR 105.9 82.7 million .,neutral,positive
"At this growth rate , paying off the national debt will be extremely painful .",negative,positive
"According to the company , its operating profit , excluding non-recurring items , in the fourth quarter of 2009 was significantly better than expected , and also better than the figures for the fourth quarter of 2008 .",positive,negative
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",negative,neutral
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral,positive
Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .,neutral,positive
The forecast for 2012 is 3.3 % .,neutral,positive
Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,positive,neutral
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",negative,positive
"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .",positive,neutral
"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",neutral,positive
"Finnish software company QPR Software Plc ( OMX Helsinki : QPR1V ) reported on Thursday ( 23 October ) an operating profit of EUR63 ,000 on net sales of EUR1 .5 m for the third quarter 2008 .",neutral,positive
"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .",positive,neutral
We are also pleased to welcome the new employees to Tieto . ',neutral,positive
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",positive,neutral
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,neutral
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",positive,negative
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,positive
Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .,neutral,positive
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,positive
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,neutral
A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,negative,neutral
The contract has been allotted as per lowest price criteria .,neutral,positive
The value of the order is about EUR 30mn .,neutral,positive
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,negative,positive
This combined with foreign investments creates interesting opportunities for Solteq .,positive,neutral
"Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .",neutral,negative
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,neutral,positive
The impact on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .,neutral,positive
One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .,negative,neutral
The StoneGate UTM solution offers protection against inbound and outbound attacks .,positive,neutral
"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .",positive,neutral
"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .",neutral,positive
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,neutral
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,positive
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,negative
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative,neutral
The company feels these leases are prime locations due to several producing formations in the immediate area .,positive,neutral
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral,positive
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive,negative
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",negative,positive
HELSINKI ( AFX ) - KCI Konecranes said that Franklin Resources Inc 's share of voting rights in the Finnish cranes company fell last week to 4.65 pct from more than 9 pct in October 2005 .,negative,neutral
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",positive,neutral
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,negative
Certain shareholders have irrevocably agreed to vote in favor of the bond issue .,positive,neutral
After the renovation the biggest moulding line in the Orhangazi foundry is the most modern line in Europe .,positive,neutral
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",negative,positive
"Ixonos estimates that it will hire 20 specialists in mechanical engineering , electronics design , and R&D for its new unit in Jyvaeskylae by the end of 2009 .",positive,neutral
"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .",positive,neutral
Possible personnel reductions concern approximately 104 people .,negative,neutral
Patrizia adds the acquisition to a portfolio already worth EUR3bn .,neutral,positive
The talks are aimed at restructuring operations and cutting costs .,positive,neutral
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",positive,neutral
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,neutral
Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,positive,neutral
"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",positive,neutral
Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,positive,neutral
The shopping center will have a prime location right next to the Myllypuro metro station .,positive,neutral
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,positive,neutral
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",negative,neutral
"Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites .",negative,neutral
"Instead , Elcoteq has signed a non-binding Letter of Intent with another Asian strategic investor .",positive,neutral
About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,positive,neutral
`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,neutral,positive
"In addition , Lehdentekijat Oy will start producing a new membership magazine , Viisas Raha ( Wise Money ) for the Association .",positive,neutral
"At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 .",neutral,negative
"According to preliminary information by the Finnish Forest Industries Federation , imports of roundwood to Finland increased to about 20 million m3 in 2005 , representing an increase of 15 % from 2004 .",neutral,positive
Delivery is due in the second half of 2011 .,neutral,negative
`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . '',neutral,positive
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",negative,neutral
"Finnish industrial investor Panostaja Oyj OMX Helsinki : PNAAS OMX Helsinki : PNABS said on Friday 11 July that it has signed a deal to acquire the entire share capital of Kospa Oy , the manufacturer of waste disposal equipment .",positive,neutral
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,neutral
"Jobs will not be transferred from Finland , however .",positive,neutral
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative,positive
Temporary layoffs in these units have already started .,neutral,negative
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive,negative
"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",negative,neutral
The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .,positive,neutral
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",positive,negative
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,positive,neutral
The members of the management team will contribute to the adjustment measures with temporary salary cut of 5 % .,positive,neutral
"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",positive,neutral
Electricity consumption grows with higher frequencies .,neutral,positive
Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,positive,neutral
The company also expects to sell its products in other Russian region .,positive,neutral
"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .",positive,neutral
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive,neutral
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",negative,neutral
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral,positive
Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .,negative,positive
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,positive
"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",negative,positive
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",positive,neutral
"The terms of the financing were approved by the Annual General Meeting of the Company held on June 30 , 2010 .",positive,neutral
"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .",neutral,positive
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",positive,negative
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,positive,neutral
"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .",positive,neutral
"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum .",positive,neutral
Rosen was cautious about being too optimistic inregard to the second half of the year .,neutral,negative
"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",positive,neutral
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",positive,neutral
Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,positive,neutral
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",positive,neutral
Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,positive,neutral
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .",positive,negative
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,negative,positive
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",positive,neutral
`` The Government has had a very professional approach in assessing the offer .,positive,neutral
"Z. Bavelloni 's long-standing MD , Dino Bavelloni , has retired at the end of 2005 .",neutral,positive
Europe however remains an important and strong market for us .,neutral,positive
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",positive,neutral
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,negative
"Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .",neutral,negative
"When cruising , the revs fall as less engine output is required .",neutral,negative
"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",neutral,positive
The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,neutral,positive
"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .",neutral,positive
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,negative,neutral
`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US .,positive,neutral
This bold spinning 360 red fabric design is set beautifully on Ercols Napoli sofa .,positive,neutral
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,positive
"Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .",positive,neutral
Export declined by 6 percent to 16.4 million liters .,negative,positive
"Consumer products manufacturer Fiskars Corp. will open a distribution and warehouse center in Southaven , creating 100 jobs .",positive,neutral
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",positive,neutral
"The venture , which will be 51 % owned by Kemira and 49 % by IVRCL , will operate an inorganic coagulant manufacturing facility , to be built in Vishakapatnam Vizag in the state of Andhra Pradesh and to kick off operations in the second half of 2011 .",neutral,positive
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,negative
The company has committed to further expanding the Apollo portfolio .,positive,neutral
"ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .",neutral,positive
The reduction notice applied to 17 people .,negative,neutral
"The competition was received with great enthusiasm by the employees , he goes on .",positive,neutral
"It currently employs about 750 people and expects headcount to reach 1,000 by end of 2007 .",positive,neutral
"You need to be ready when the window opens up , Rosberg said .",neutral,positive
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,negative,neutral
Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .,neutral,positive
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive,neutral
"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",positive,neutral
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",neutral,positive
The company admits that 36 months is a relatively short time when operating in Russia .,neutral,positive
"says Brian Burton , Head of IT Security , Vodafone UK .",neutral,positive
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,negative,positive
"The estimated turnover of the new company is LVL 2,5 million EEK 40 million .",neutral,positive
It is a disappointment to see the plan folded .,negative,neutral
"Martela said plans to expand its recycled furniture business elsewhere in Finland , too .",positive,neutral
Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,negative,positive
Sales fell abroad but increased in Finland .,neutral,negative
"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",neutral,positive
"Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .",positive,neutral
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",negative,neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,positive
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,negative,neutral
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",positive,neutral
Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp & Paper Machinery ( that is part of Vaahto Group ) .,positive,neutral
"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .",positive,neutral
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive,neutral
"Under a memorandum of understanding MoU the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation , environmental protection and energy efficient technologies .",positive,neutral
"Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement .",positive,neutral
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,neutral,positive
The group had an order book of EUR 7.74 mn at the end of 2007 .,neutral,positive
"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",positive,neutral
"Viking Line has also been forced to alter its timetable so that ferries traveling from Stockholm to Helsinki , Finland , only depart at night .",neutral,negative
"Marimekko makes all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the better to take advantage of shoppers who ca n't commit to furniture but want a piece of the action .",neutral,negative
The value of the multi-year agreement is over EUR 2mn a year .,neutral,positive
The reductions will be implemented mainly in the course of the first half of 2009 .,neutral,negative
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",negative,neutral
Profit of the accounting period was EUR 0.3 mn .,neutral,positive
"- So , the sales growth of cars considerably influence on the tires market '' .",neutral,positive
It said Comptel delivers reliable provisioning and activation solutions which improve fulfilment processes for operators .,neutral,positive
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",positive,neutral
The purpose of this action is to ensure company 's cost effectiveness this year and in the near future .,positive,neutral
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",negative,positive
The compnay also said that it would lower the price of development projects by about one third compared with last November .,neutral,positive
"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .",positive,neutral
"`` This agreement is a direct result of LCC 's strategy and plan that was announced earlier this year , '' said Dean Douglas , LCC 's chief executive officer .",neutral,positive
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive,negative
`` Those uncertainties cloud the long-term outlook . '',negative,positive
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",negative,positive
Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,negative,neutral
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative,positive
Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+ñnsi-Kalkkuna to produce turkey meat .,positive,neutral
A 2001 agreement expired earlier this month .,neutral,positive
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,positive,neutral
Small investors have voiced fears that the shares will end up with risk investors .,negative,neutral
The recent troubles simply make NETeller cheaper .,negative,positive
"The total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations .",neutral,positive
"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .",positive,negative
The company says it is difficult to estimate the market situation for the whole year 2009 .,neutral,positive
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,neutral
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral,positive
"Garmin fell 4.5 percent to $ 34.53 at 1:33 p.m. in New York , while Google slid 0.7 percent at $ 576.50 .",neutral,negative
The measures result from decreased demand in technical design and product information .,negative,neutral
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,negative
"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) .",positive,neutral
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",negative,positive
Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .,positive,neutral
"`` While concerns remain longer term , size and scale may enable Nokia to hold on to its newfound margin improvements in the near term , '' the analyst wrote .",positive,neutral
