sentence,label,text_lower,text_normalized,text_preprocessed
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom 's offering to its customers .,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom s offering to its customers,teliasonera tlsn said offer line strategy increase ownership core business holdings strengthen eesti telekom s offering customers
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,"stora enso , norske skog , m-real , upm-kymmene credit suisse first boston ( cfsb ) raised the fair value for shares in four of the largest nordic forestry groups .",stora enso norske skog m real upm kymmene credit suisse first boston cfsb raised the fair value for shares in four of the largest nordic forestry groups,stora enso norske skog m real upm kymmene credit suisse boston cfsb raised fair value shares largest nordic forestry groups
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,"a purchase agreement for 7,200 tons of gasoline with delivery at the hamina terminal , finland , was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month .",a purchase agreement for < > tons of gasoline with delivery at the hamina terminal finland was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month,purchase agreement tons gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus dollars month
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,"finnish talentum reports its operating profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 , and net sales totaled eur 103.3 mn , up from eur 96.4 mn .",finnish talentum reports its operating profit increased to eur < > mn in < > from eur < > mn in < > and net sales totaled eur < > mn up from eur < > mn,finnish talentum reports operating profit increased eur mn eur mn net sales totaled eur mn eur mn
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,"clothing retail chain sepp+ñl+ñ 's sales increased by 8 % to eur 155.2 mn , and operating profit rose to eur 31.1 mn from eur 17.1 mn in 2004 .",clothing retail chain sepp l s sales increased by < > to eur < > mn and operating profit rose to eur < > mn from eur < > mn in < >,clothing retail chain sepp l s sales increased eur mn operating profit rose eur mn eur mn
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,"consolidated net sales increased 16 % to reach eur74 .8 m , while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period .",consolidated net sales increased < > to reach eur < > m while operating profit amounted to eur < > m compared to a loss of eur < > m in the prior year period,consolidated net sales increased reach eur m operating profit amounted eur m compared loss eur m prior year period
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,"foundries division reports its sales increased by 9.7 % to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 , and sales of the machine shop division increased by 16.4 % to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 .",foundries division reports its sales increased by < > to eur < > mn from eur < > mn in the corresponding period in < > and sales of the machine shop division increased by < > to eur < > mn from eur < > mn in the corresponding period in < >,foundries division reports sales increased eur mn eur mn corresponding period sales machine shop division increased eur mn eur mn corresponding period
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,"helsinki ( afx ) - shares closed higher , led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets , and by nokian tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx shares closed higher led by nokia after it announced plans to team up with sanyo to manufacture g handsets and by nokian tyres after its fourth quarter earnings report beat analysts expectations dealers said,helsinki afx shares closed higher led nokia announced plans team sanyo manufacture g handsets nokian tyres fourth quarter earnings report beat analysts expectations dealers said
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , plans to double its revenues by 2007-2008 .",incap contract manufacturing services pvt ltd a subsidiary of incap corporation of finland plans to double its revenues by < > < >,incap contract manufacturing services pvt subsidiary incap corporation finland plans double revenues
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,"its board of directors will propose a dividend of eur0 .12 per share for 2010 , up from the eur0 .08 per share paid in 2009 .",its board of directors will propose a dividend of eur < > per share for < > up from the eur < > per share paid in < >,board directors propose dividend eur share eur share paid
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,"lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetree was founded in < > and its revenues have risen on an average by < > with margins in late s,lifetree founded revenues risen average margins late s
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",positive,"( filippova ) a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum , days of the russian economy , that opened in helsinki today .",filippova a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum days of the russian economy that opened in helsinki today,filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,"megafon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of december 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to teliasonera estimates .",megafon s subscriber base increased < > in < > to < > million users as of december < > while its market share by the number of customers amounted to < > as of late < > up from < > as of late < > according to teliasonera estimates,megafon s subscriber base increased million users december market share number customers amounted late late according teliasonera estimates
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,"net income from life insurance doubled to eur 6.8 mn from eur 3.2 mn , and net income from non-life insurance rose to eur 5.2 mn from eur 1.5 mn in the corresponding period in 2009 .",net income from life insurance doubled to eur < > mn from eur < > mn and net income from non life insurance rose to eur < > mn from eur < > mn in the corresponding period in < >,net income life insurance doubled eur mn eur mn net income non life insurance rose eur mn eur mn corresponding period
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,net sales increased to eur193 .3 m from eur179 .9 m and pretax profit rose by 34.2 % to eur43 .1 m. ( eur1 = usd1 .4 ),net sales increased to eur < > m from eur < > m and pretax profit rose by < > to eur < > m eur usd < >,net sales increased eur m eur m pretax profit rose eur m eur usd
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,"net sales surged by 18.5 % to eur167 .8 m. teleste said that eur20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sales surged by < > to eur < > m teleste said that eur < > m or < > of the sales came from the acquisitions made in < >,net sales surged eur m teleste said eur m sales came acquisitions
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,nordea group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group s operating profit increased in < > by < > percent year on year to < > billion euros and total revenue by < > percent to < > billion euros,nordea group s operating profit increased percent year year billion euros total revenue percent billion euros
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,"operating profit for the nine-month period increased from eur13 .6 m , while net sales increased from eur394 .7 m , as compared to the corresponding period in 2005 .",operating profit for the nine month period increased from eur < > m while net sales increased from eur < > m as compared to the corresponding period in < >,operating profit month period increased eur m net sales increased eur m compared corresponding period
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,"operating profit for the nine-month period increased from eur3 .1 m and net sales increased from eur61 .5 m , as compared to the corresponding period in 2007 .",operating profit for the nine month period increased from eur < > m and net sales increased from eur < > m as compared to the corresponding period in < >,operating profit month period increased eur m net sales increased eur m compared corresponding period
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,"operating profit for the three-month period increased from eur1 .2 m , while revenue increased from eur20 .2 m , as compared to the corresponding period in 2005 .",operating profit for the three month period increased from eur < > m while revenue increased from eur < > m as compared to the corresponding period in < >,operating profit month period increased eur m revenue increased eur m compared corresponding period
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"the brazilian unit of finnish security solutions provider f-secure signed up 1,500 new clients last year , online news source reseller web quoted the division 's commercial director , vladimir brand+úo , as saying .",the brazilian unit of finnish security solutions provider f secure signed up < > new clients last year online news source reseller web quoted the division s commercial director vladimir brand o as saying,brazilian unit finnish security solutions provider f secure signed new clients year online news source reseller web quoted division s commercial director vladimir brand o saying
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,"the company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",the company s net profit rose < > on the year to < > million euros in < > on sales of < > million euros < > up on the year the company said earlier,company s net profit rose year million euros sales million euros year company said earlier
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,"the lithuanian beer market made up 14.41 million liters in january , a rise of 0.8 percent from the year-earlier figure , the lithuanian brewers ' association reporting citing the results from its members .",the lithuanian beer market made up < > million liters in january a rise of < > percent from the year earlier figure the lithuanian brewers association reporting citing the results from its members,lithuanian beer market million liters january rise percent year earlier figure lithuanian brewers association reporting citing results members
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,"viking line 's cargo revenue increased by 5.4 % to eur 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line s cargo revenue increased by < > to eur < > mn and cargo volume increased by < > to < > cargo units,viking line s cargo revenue increased eur mn cargo volume increased cargo units
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,"the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2,686.2 1,259.7 million .",the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur < > < > < > < > million,fair value property portfolio doubled result kapiteeli acquisition totalled eur million
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,10 february 2011 - finnish media company sanoma oyj hel : saa1v said yesterday its 2010 net profit almost tripled to eur297 .3 m from eur107 .1 m for 2009 and announced a proposal for a raised payout .,< > february < > finnish media company sanoma oyj hel saa v said yesterday its < > net profit almost tripled to eur < > m from eur < > m for < > and announced a proposal for a raised payout,february finnish media company sanoma oyj hel saa v said yesterday net profit tripled eur m eur m announced proposal raised payout
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,"a helsinki : eliiv today reported eps of eur1 .13 for 2009 , an increase over eps of eur1 .12 in 2008 .",a helsinki eliiv today reported eps of eur < > for < > an increase over eps of eur < > in < >,helsinki eliiv today reported eps eur increase eps eur
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,"aspo plc stock exchange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part of aspo group , has signed a new , long-term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea .",aspo plc stock exchange release february < > < > at < > a m esl shipping ltd part of aspo group has signed a new long term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea,aspo plc stock exchange release february m esl shipping aspo group signed new long term contract rautaruukki corporation marine transport raw materials baltic sea
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,"commission income increased by 22 % to eur 4.4 mn , and lending volume rose by 13.5 % .",commission income increased by < > to eur < > mn and lending volume rose by < >,commission income increased eur mn lending volume rose
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,"in january , traffic , measured in revenue passenger kilometres rpk , went up by 3.2 % and capacity , measured in available seat kilometres ask , rose by 12.2 % .",in january traffic measured in revenue passenger kilometres rpk went up by < > and capacity measured in available seat kilometres ask rose by < >,january traffic measured revenue passenger kilometres rpk went capacity measured available seat kilometres ask rose
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,"in january-september 2010 , fiskars ' net profit went up by 14 % year-on-year to eur 65.4 million and net sales to eur 525.3 million from eur 487.7 million .",in january september < > fiskars net profit went up by < > year on year to eur < > million and net sales to eur < > million from eur < > million,january september fiskars net profit went year year eur million net sales eur million eur million
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,"net income from life insurance rose to eur 16.5 mn from eur 14.0 mn , and net income from non-life insurance to eur 22.6 mn from eur 15.2 mn in 2009 .",net income from life insurance rose to eur < > mn from eur < > mn and net income from non life insurance to eur < > mn from eur < > mn in < >,net income life insurance rose eur mn eur mn net income non life insurance eur mn eur mn
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,"nyrstar has also agreed to supply to talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar has also agreed to supply to talvivaara up to < > tonnes of sulphuric acid per annum for use in talvivaara s leaching process during the period of supply of the zinc in concentrate,nyrstar agreed supply talvivaara tonnes sulphuric acid annum use talvivaara s leaching process period supply zinc concentrate
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",positive,"sales for both the department store division and hobby hall increased by 7 % , while sales for the clothing store subsidiary seppala decreased by 4 % .",sales for both the department store division and hobby hall increased by < > while sales for the clothing store subsidiary seppala decreased by < >,sales department store division hobby hall increased sales clothing store subsidiary seppala decreased
Sales have risen in other export markets .,positive,sales have risen in other export markets .,sales have risen in other export markets,sales risen export markets
Sales increased due to growing market rates and increased operations .,positive,sales increased due to growing market rates and increased operations .,sales increased due to growing market rates and increased operations,sales increased growing market rates increased operations
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,the agreement strengthens our long-term partnership with nokia siemens networks .,the agreement strengthens our long term partnership with nokia siemens networks,agreement strengthens long term partnership nokia siemens networks
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive,"the agreement was signed with biohit healthcare ltd , the uk-based subsidiary of biohit oyj , a finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",the agreement was signed with biohit healthcare ltd the uk based subsidiary of biohit oyj a finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems,agreement signed biohit healthcare uk based subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,the company also estimates the already carried out investments to lead to an increase in its net sales for < > from < > when they reached eur < > million,company estimates carried investments lead increase net sales reached eur million
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,"the company 's order book stood at 1.5 bln euro $ 2.2 bln on september 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",the company s order book stood at < > bln euro < > bln on september < > < > up by < > pct on the year with international orders amounting to < > mln euro < > mln,company s order book stood bln euro bln september pct year international orders amounting mln euro mln
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,"the company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",the company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by < > percent compared with last year,company said paper demand increased main markets including publication papers increased average paper prices percent compared year
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,"the world 's second largest stainless steel maker said net profit in the three-month period until dec. 31 surged to euro603 million us$ 781 million , or euro3 .33 us$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",the world s second largest stainless steel maker said net profit in the three month period until dec < > surged to euro million us < > million or euro < > us < > per share from euro million or euro < > per share the previous year,world s second largest stainless steel maker said net profit month period dec surged euro million million euro share euro million euro share previous year
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",positive,"within the framework of the partnership , nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary , jsc mikron , which is the largest manufacturer and exporter of microelectronic components in russia .",within the framework of the partnership nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary jsc mikron which is the largest manufacturer and exporter of microelectronic components in russia,framework partnership nokia siemens networks signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic components russia
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,"seppala 's revenue increased by 0.2 % to eur10 .1 m. in finland , revenue went down by 2.4 % to eur6 .8 m , while sales abroad rose by 6.2 % to eur3 .3 m. sales increased in all the baltic countries as well as in russia and ukraine .",seppala s revenue increased by < > to eur < > m in finland revenue went down by < > to eur < > m while sales abroad rose by < > to eur < > m sales increased in all the baltic countries as well as in russia and ukraine,seppala s revenue increased eur m finland revenue went eur m sales abroad rose eur m sales increased baltic countries russia ukraine
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,"shares of standard chartered ( stan ) rose 1.2 % in the ftse 100 , while royal bank of scotland ( rbs ) shares rose 2 % and barclays shares ( barc ) ( bcs ) were up 1.7 % .",shares of standard chartered stan rose < > in the ftse < > while royal bank of scotland rbs shares rose < > and barclays shares barc bcs were up < >,shares standard chartered stan rose ftse royal bank scotland rbs shares rose barclays shares barc bcs
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,shares of nokia corp. rose thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,shares of nokia corp rose thursday after the cell phone maker said its third quarter earnings almost doubled and its share of the global handset market increased,shares nokia corp rose thursday cell phone maker said quarter earnings doubled share global handset market increased
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,"in its financial report , published on friday , seb said its net profit soared to sek6 .745 bn in 2010 from a year-earlier sek1 .114 bn and proposed a 50 % dividend increase to sek1 .50 per share .",in its financial report published on friday seb said its net profit soared to sek < > bn in < > from a year earlier sek < > bn and proposed a < > dividend increase to sek < > per share,financial report published friday seb said net profit soared sek bn year earlier sek bn proposed dividend increase sek share
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,sales for the department store division increased by 15 % and sales for the clothing store subsidiary seppala increased by 8 % meanwhile sales for hobby hall decreased by 12 % .,sales for the department store division increased by < > and sales for the clothing store subsidiary seppala increased by < > meanwhile sales for hobby hall decreased by < >,sales department store division increased sales clothing store subsidiary seppala increased sales hobby hall decreased
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,"at the request of finnish media company alma media 's newspapers , research manager jari kaivo-oja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland 's national economy by using a model developed by the university of denver .",at the request of finnish media company alma media s newspapers research manager jari kaivo oja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland s national economy by using a model developed by the university of denver,request finnish media company alma media s newspapers research manager jari kaivo oja finland futures research centre turku school economics drawn future scenario finland s national economy using model developed university denver
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,"in sweden , gallerix accumulated sek denominated sales were down 1 % and eur denominated sales were up 11 % .",in sweden gallerix accumulated sek denominated sales were down < > and eur denominated sales were up < >,sweden gallerix accumulated sek denominated sales eur denominated sales
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,neutral,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production,company supports global customers developing new technologies offers fast route product development applications volume production
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,"when this investment is in place , atria plans to expand into the moscow market .",when this investment is in place atria plans to expand into the moscow market,investment place atria plans expand moscow market
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",neutral,"`` the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group , whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita - ja pohjois suomo , and signed asimilar agreement , '' said tatu hauhio , managing director ofcramo finland .",the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo and signed asimilar agreement said tatu hauhio managing director ofcramo finland,new agreement continuation theagreement signed earlier year lemminkainen group cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",positive,"at first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",at first the contract envisaged the construction of three ferryboats with an option for two more units further confirmed at a total value of < > mln euro < > mln,contract envisaged construction ferryboats option units confirmed total value mln euro mln
