sentence,label,tokens,word_count,char_count
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,"['helsinki', 'afx', 'shares', 'closed', 'higher', 'led', 'by', 'nokia', 'after', 'it', 'announced', 'plans', 'to', 'team', 'up', 'with', 'sanyo', 'to', 'manufacture', 'g', 'handsets', 'and', 'by', 'nokian', 'tyres', 'after', 'its', 'fourth', 'quarter', 'earnings', 'report', 'beat', 'analysts', 'expectations', 'dealers', 'said']",36,237
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,"['incap', 'contract', 'manufacturing', 'services', 'pvt', 'ltd', 'a', 'subsidiary', 'of', 'incap', 'corporation', 'of', 'finland', 'plans', 'to', 'double', 'its', 'revenues', 'by']",19,138
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,"['its', 'board', 'of', 'directors', 'will', 'propose', 'a', 'dividend', 'of', 'eur', 'per', 'share', 'for', 'up', 'from', 'the', 'eur', 'per', 'share', 'paid', 'in']",21,125
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,"['lifetree', 'was', 'founded', 'in', 'and', 'its', 'revenues', 'have', 'risen', 'on', 'an', 'average', 'by', 'with', 'margins', 'in', 'late', 's']",18,107
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",positive,"['filippova', 'a', 'trilateral', 'agreement', 'on', 'investment', 'in', 'the', 'construction', 'of', 'a', 'technology', 'park', 'in', 'st', 'petersburg', 'was', 'to', 'have', 'been', 'signed', 'in', 'the', 'course', 'of', 'the', 'forum', 'days', 'of', 'the', 'russian', 'economy', 'that', 'opened', 'in', 'helsinki', 'today']",37,223
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,"['megafon', 's', 'subscriber', 'base', 'increased', 'in', 'to', 'million', 'users', 'as', 'of', 'december', 'while', 'its', 'market', 'share', 'by', 'the', 'number', 'of', 'customers', 'amounted', 'to', 'as', 'of', 'late', 'up', 'from', 'as', 'of', 'late', 'according', 'to', 'teliasonera', 'estimates']",35,246
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,"['net', 'income', 'from', 'life', 'insurance', 'doubled', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'and', 'net', 'income', 'from', 'non', 'life', 'insurance', 'rose', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in', 'the', 'corresponding', 'period', 'in']",31,182
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,"['net', 'sales', 'increased', 'to', 'eur', 'm', 'from', 'eur', 'm', 'and', 'pretax', 'profit', 'rose', 'by', 'to', 'eur', 'm', 'eur', 'usd']",19,118
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,"['net', 'sales', 'surged', 'by', 'to', 'eur', 'm', 'teleste', 'said', 'that', 'eur', 'm', 'or', 'of', 'the', 'sales', 'came', 'from', 'the', 'acquisitions', 'made', 'in']",22,140
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,"['nordea', 'group', 's', 'operating', 'profit', 'increased', 'in', 'by', 'percent', 'year', 'on', 'year', 'to', 'billion', 'euros', 'and', 'total', 'revenue', 'by', 'percent', 'to', 'billion', 'euros']",23,154
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,"['operating', 'profit', 'for', 'the', 'nine', 'month', 'period', 'increased', 'from', 'eur', 'm', 'while', 'net', 'sales', 'increased', 'from', 'eur', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in']",25,165
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,"['operating', 'profit', 'for', 'the', 'nine', 'month', 'period', 'increased', 'from', 'eur', 'm', 'and', 'net', 'sales', 'increased', 'from', 'eur', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in']",25,159
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,"['operating', 'profit', 'for', 'the', 'three', 'month', 'period', 'increased', 'from', 'eur', 'm', 'while', 'revenue', 'increased', 'from', 'eur', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in']",24,162
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"['the', 'brazilian', 'unit', 'of', 'finnish', 'security', 'solutions', 'provider', 'f', 'secure', 'signed', 'up', 'new', 'clients', 'last', 'year', 'online', 'news', 'source', 'reseller', 'web', 'quoted', 'the', 'division', 's', 'commercial', 'director', 'vladimir', 'brand', 'o', 'as', 'saying']",32,215
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,"['the', 'company', 's', 'net', 'profit', 'rose', 'on', 'the', 'year', 'to', 'million', 'euros', 'in', 'on', 'sales', 'of', 'million', 'euros', 'up', 'on', 'the', 'year', 'the', 'company', 'said', 'earlier']",26,164
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,"['the', 'lithuanian', 'beer', 'market', 'made', 'up', 'million', 'liters', 'in', 'january', 'a', 'rise', 'of', 'percent', 'from', 'the', 'year', 'earlier', 'figure', 'the', 'lithuanian', 'brewers', 'association', 'reporting', 'citing', 'the', 'results', 'from', 'its', 'members']",30,206
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,"['viking', 'line', 's', 'cargo', 'revenue', 'increased', 'by', 'to', 'eur', 'mn', 'and', 'cargo', 'volume', 'increased', 'by', 'to', 'cargo', 'units']",18,125
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,"['the', 'fair', 'value', 'of', 'the', 'property', 'portfolio', 'doubled', 'as', 'a', 'result', 'of', 'the', 'kapiteeli', 'acquisition', 'and', 'totalled', 'eur', 'million']",19,132
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,"['february', 'finnish', 'media', 'company', 'sanoma', 'oyj', 'hel', 'saa', 'v', 'said', 'yesterday', 'its', 'net', 'profit', 'almost', 'tripled', 'to', 'eur', 'm', 'from', 'eur', 'm', 'for', 'and', 'announced', 'a', 'proposal', 'for', 'a', 'raised', 'payout']",31,201
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,"['a', 'helsinki', 'eliiv', 'today', 'reported', 'eps', 'of', 'eur', 'for', 'an', 'increase', 'over', 'eps', 'of', 'eur', 'in']",16,103
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,"['aspo', 'plc', 'stock', 'exchange', 'release', 'february', 'at', 'a', 'm', 'esl', 'shipping', 'ltd', 'part', 'of', 'aspo', 'group', 'has', 'signed', 'a', 'new', 'long', 'term', 'contract', 'with', 'rautaruukki', 'corporation', 'for', 'the', 'marine', 'transport', 'of', 'raw', 'materials', 'on', 'the', 'baltic', 'sea']",37,232
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,"['commission', 'income', 'increased', 'by', 'to', 'eur', 'mn', 'and', 'lending', 'volume', 'rose', 'by']",12,87
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,"['in', 'january', 'traffic', 'measured', 'in', 'revenue', 'passenger', 'kilometres', 'rpk', 'went', 'up', 'by', 'and', 'capacity', 'measured', 'in', 'available', 'seat', 'kilometres', 'ask', 'rose', 'by']",22,162
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,"['in', 'january', 'september', 'fiskars', 'net', 'profit', 'went', 'up', 'by', 'year', 'on', 'year', 'to', 'eur', 'million', 'and', 'net', 'sales', 'to', 'eur', 'million', 'from', 'eur', 'million']",24,157
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,"['net', 'income', 'from', 'life', 'insurance', 'rose', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'and', 'net', 'income', 'from', 'non', 'life', 'insurance', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in']",26,150
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,"['nyrstar', 'has', 'also', 'agreed', 'to', 'supply', 'to', 'talvivaara', 'up', 'to', 'tonnes', 'of', 'sulphuric', 'acid', 'per', 'annum', 'for', 'use', 'in', 'talvivaara', 's', 'leaching', 'process', 'during', 'the', 'period', 'of', 'supply', 'of', 'the', 'zinc', 'in', 'concentrate']",33,195
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",positive,"['sales', 'for', 'both', 'the', 'department', 'store', 'division', 'and', 'hobby', 'hall', 'increased', 'by', 'while', 'sales', 'for', 'the', 'clothing', 'store', 'subsidiary', 'seppala', 'decreased', 'by']",22,151
Sales have risen in other export markets .,positive,"['sales', 'have', 'risen', 'in', 'other', 'export', 'markets']",7,42
Sales increased due to growing market rates and increased operations .,positive,"['sales', 'increased', 'due', 'to', 'growing', 'market', 'rates', 'and', 'increased', 'operations']",10,70
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,"['the', 'agreement', 'strengthens', 'our', 'long', 'term', 'partnership', 'with', 'nokia', 'siemens', 'networks']",11,81
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive,"['the', 'agreement', 'was', 'signed', 'with', 'biohit', 'healthcare', 'ltd', 'the', 'uk', 'based', 'subsidiary', 'of', 'biohit', 'oyj', 'a', 'finnish', 'public', 'company', 'which', 'develops', 'manufactures', 'and', 'markets', 'liquid', 'handling', 'products', 'and', 'diagnostic', 'test', 'systems']",31,215
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,"['the', 'company', 'also', 'estimates', 'the', 'already', 'carried', 'out', 'investments', 'to', 'lead', 'to', 'an', 'increase', 'in', 'its', 'net', 'sales', 'for', 'from', 'when', 'they', 'reached', 'eur', 'million']",25,159
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,"['the', 'company', 's', 'order', 'book', 'stood', 'at', 'bln', 'euro', 'bln', 'on', 'september', 'up', 'by', 'pct', 'on', 'the', 'year', 'with', 'international', 'orders', 'amounting', 'to', 'mln', 'euro', 'mln']",26,177
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,"['the', 'company', 'said', 'that', 'paper', 'demand', 'increased', 'in', 'all', 'of', 'its', 'main', 'markets', 'including', 'of', 'publication', 'papers', 'and', 'that', 'it', 'increased', 'average', 'paper', 'prices', 'by', 'percent', 'compared', 'with', 'last', 'year']",30,189
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,"['the', 'world', 's', 'second', 'largest', 'stainless', 'steel', 'maker', 'said', 'net', 'profit', 'in', 'the', 'three', 'month', 'period', 'until', 'dec', 'surged', 'to', 'euro', 'million', 'us', 'million', 'or', 'euro', 'us', 'per', 'share', 'from', 'euro', 'million', 'or', 'euro', 'per', 'share', 'the', 'previous', 'year']",39,251
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",positive,"['within', 'the', 'framework', 'of', 'the', 'partnership', 'nokia', 'siemens', 'networks', 'has', 'signed', 'an', 'initial', 'framework', 'purchase', 'agreement', 'with', 'sitronics', 'subsidiary', 'jsc', 'mikron', 'which', 'is', 'the', 'largest', 'manufacturer', 'and', 'exporter', 'of', 'microelectronic', 'components', 'in', 'russia']",33,245
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,"['seppala', 's', 'revenue', 'increased', 'by', 'to', 'eur', 'm', 'in', 'finland', 'revenue', 'went', 'down', 'by', 'to', 'eur', 'm', 'while', 'sales', 'abroad', 'rose', 'by', 'to', 'eur', 'm', 'sales', 'increased', 'in', 'all', 'the', 'baltic', 'countries', 'as', 'well', 'as', 'in', 'russia', 'and', 'ukraine']",39,233
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,"['shares', 'of', 'standard', 'chartered', 'stan', 'rose', 'in', 'the', 'ftse', 'while', 'royal', 'bank', 'of', 'scotland', 'rbs', 'shares', 'rose', 'and', 'barclays', 'shares', 'barc', 'bcs', 'were', 'up']",24,172
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,"['shares', 'of', 'nokia', 'corp', 'rose', 'thursday', 'after', 'the', 'cell', 'phone', 'maker', 'said', 'its', 'third', 'quarter', 'earnings', 'almost', 'doubled', 'and', 'its', 'share', 'of', 'the', 'global', 'handset', 'market', 'increased']",27,164
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,"['in', 'its', 'financial', 'report', 'published', 'on', 'friday', 'seb', 'said', 'its', 'net', 'profit', 'soared', 'to', 'sek', 'bn', 'in', 'from', 'a', 'year', 'earlier', 'sek', 'bn', 'and', 'proposed', 'a', 'dividend', 'increase', 'to', 'sek', 'per', 'share']",32,197
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,"['sales', 'for', 'the', 'department', 'store', 'division', 'increased', 'by', 'and', 'sales', 'for', 'the', 'clothing', 'store', 'subsidiary', 'seppala', 'increased', 'by', 'meanwhile', 'sales', 'for', 'hobby', 'hall', 'decreased', 'by']",25,177
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,"['at', 'the', 'request', 'of', 'finnish', 'media', 'company', 'alma', 'media', 's', 'newspapers', 'research', 'manager', 'jari', 'kaivo', 'oja', 'at', 'the', 'finland', 'futures', 'research', 'centre', 'at', 'the', 'turku', 'school', 'of', 'economics', 'has', 'drawn', 'up', 'a', 'future', 'scenario', 'for', 'finland', 's', 'national', 'economy', 'by', 'using', 'a', 'model', 'developed', 'by', 'the', 'university', 'of', 'denver']",49,290
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,"['in', 'sweden', 'gallerix', 'accumulated', 'sek', 'denominated', 'sales', 'were', 'down', 'and', 'eur', 'denominated', 'sales', 'were', 'up']",15,109
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,neutral,"['the', 'company', 'supports', 'its', 'global', 'customers', 'in', 'developing', 'new', 'technologies', 'and', 'offers', 'a', 'fast', 'route', 'from', 'product', 'development', 'to', 'applications', 'and', 'volume', 'production']",23,161
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,"['when', 'this', 'investment', 'is', 'in', 'place', 'atria', 'plans', 'to', 'expand', 'into', 'the', 'moscow', 'market']",14,81
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",neutral,"['the', 'new', 'agreement', 'is', 'a', 'continuation', 'to', 'theagreement', 'signed', 'earlier', 'this', 'year', 'with', 'the', 'lemminkainen', 'group', 'whereby', 'cramo', 'acquired', 'the', 'entire', 'construction', 'machine', 'fleet', 'oflemminkainen', 'talo', 'oy', 'ita', 'ja', 'pohjois', 'suomo', 'and', 'signed', 'asimilar', 'agreement', 'said', 'tatu', 'hauhio', 'managing', 'director', 'ofcramo', 'finland']",42,308
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",positive,"['at', 'first', 'the', 'contract', 'envisaged', 'the', 'construction', 'of', 'three', 'ferryboats', 'with', 'an', 'option', 'for', 'two', 'more', 'units', 'further', 'confirmed', 'at', 'a', 'total', 'value', 'of', 'mln', 'euro', 'mln']",27,173
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral,"['in', 'june', 'it', 'sold', 'a', 'percent', 'stake', 'to', 'nordstjernan', 'and', 'the', 'investment', 'group', 'has', 'now', 'taken', 'up', 'the', 'option', 'to', 'acquire', 'eqt', 's', 'remaining', 'shares']",25,142
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,"['kesko', 'corporation', 'stock', 'exchange', 'release', 'at', 'kesko', 'corporation', 'and', 'aspo', 'plc', 'today', 'signed', 'an', 'agreement', 'by', 'which', 'aspo', 'acquires', 'the', 'share', 'capital', 'of', 'kauko', 'telko', 'ltd', 'a', 'subsidiary', 'wholly', 'owned', 'by', 'kesko']",32,224
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,positive,"['sponda', 'plc', 'stock', 'exchange', 'release', 'december', 'at', 'eur', 'billion', 'syndicated', 'credit', 'facility', 'for', 'sponda', 'sponda', 'has', 'signed', 'an', 'agreement', 'for', 'a', 'one', 'year', 'syndicated', 'credit', 'facility', 'for', 'a', 'total', 'of', 'eur', 'billion']",32,218
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,"['stock', 'exchange', 'announcement', 'july', 'basware', 'share', 'subscriptions', 'with', 'warrants', 'and', 'increase', 'in', 'share', 'capital', 'a', 'total', 'of', 'shares', 'have', 'been', 'subscribed', 'with', 'basware', 'warrant', 'program']",25,198
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",positive,"['the', 'contract', 'covers', 'hdo', 'platform', 'ac', 'and', 'cxe', 'optical', 'fttb', 'nodes', 'designed', 'to', 'increase', 'the', 'forward', 'and', 'return', 'path', 'capacity', 'of', 'the', 'transmission', 'networks']",24,159
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,"['the', 'new', 'plant', 'is', 'planned', 'to', 'have', 'an', 'electricity', 'generation', 'capacity', 'of', 'up', 'to', 'megawatts', 'mw', 'and', 'the', 'same', 'heat', 'generation', 'capacity']",22,137
